Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
1135,6114.4,338.5,0.711,100.03,265.87,515.324,746.193,882.864,1166.394,2301.812,0.003,,6114.4,6027.6
1140,5070,763.381,0.812,100.281,247.086,504.305,930.051,6106.513,6382.467,7115.971,0.001,,5070,5759.8
1145,579.6,290.742,1.159,159.141,256.547,389.825,569.923,681.877,824.531,1062.723,0.003,,579.6,5797.6
1150,5838.6,359.854,0.77,84.282,214.848,423.115,704.153,1698.572,2086.228,2611.692,0.003,,5838.6,5382.6
1155,7913.8,253.719,0.846,85.835,205.069,381.516,538.977,641.124,838.99,1725.13,0.004,,7913.8,5232.8
1160,7427.8,279.64,0.587,93.399,221.77,415.428,598.794,724.451,960.104,1701.281,0.004,,7427.8,4877.6
1165,4424.8,529.877,0.568,98.491,255.307,495.035,907.613,2927.945,3392.468,4166.651,0.002,,4424.8,6970.8
1170,5042.4,1173.902,1.021,113.48,272.132,530.985,932.735,10914.322,11231.217,12196.696,0.001,,5042.4,7021.4
1175,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,4617.2
1180,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,2956
1185,8365.4,229.593,0.692,74.585,187.43,340.231,492.776,594.854,797.463,1448.906,0.004,,8365.4,4804
1190,8888.8,232.748,0.74,69.112,179.807,351.491,516.051,615.772,825.409,1599.296,0.004,,8888.8,2013.4
1195,8346.2,246.985,0.952,80.295,197.094,366.728,534.399,640.312,859.132,1823.671,0.004,,8346.2,9046
1200,7479,272.184,0.938,91.768,217.251,409.186,587.557,692.505,900.09,1549.531,0.004,,7479,8508
1205,6939.2,295.023,0.9,96.531,240.924,445.703,630.62,741.374,980.496,1673.443,0.003,,6939.2,7921.4
1210,6995.2,296.705,0.869,92.138,237.68,451.04,644.029,761.373,994.687,1616.808,0.003,,6995.2,7257.6
1215,6589.2,310.092,0.784,93.309,240.983,470.954,674.432,806.845,1091.799,2016.953,0.003,,6589.2,7139.2
1220,5978.4,349.122,1.021,115.962,271.457,522.97,747.076,899.488,1220.836,2198.905,0.003,,5978.4,6215.4
1225,4690.4,784.408,0.79,98.632,271.689,570.839,1094.581,5629.143,5979.974,6561.622,0.001,,4690.4,1570.6
1230,1113.8,319.575,1.667,148.316,290.817,468.755,580.352,692.699,905.121,1242.859,0.003,,1113.8,4306.8
1235,8516.6,238.36,0.759,84.538,197.344,354.172,502.167,593.276,771.718,1248.499,0.004,,8516.6,8060.8
1240,8065.4,255.918,0.705,81.786,204.53,386.522,553.822,657.05,874.969,1462.697,0.004,,8065.4,8423.6
1245,7657.8,267.811,0.808,95.405,216.724,399.002,566.974,673.787,879.542,1526.093,0.004,,7657.8,7845.4
1250,6973.2,292.989,0.917,96.044,237.11,442.454,624.359,734.818,973.236,1746.444,0.003,,6973.2,6984.4
1255,6777.4,320.369,0.712,100.956,240.286,463.996,667.862,801.032,1667.614,2898.456,0.003,,6777.4,6886.4
1260,4748.2,425.003,1.179,123.003,289.413,556.183,887.652,1352.997,1964.46,6476.788,0.002,,4748.2,6440
1265,1062,2027.733,1.087,119.336,376.391,4921.262,5212.401,5426.4,5627.732,6126.847,0,,1062,6118.6
1270,7610.8,239.247,0.72,72.378,193.167,359.103,521.589,621.62,843.835,1751.899,0.004,,7610.8,5796.8
1275,8606.4,237.523,0.816,79.207,190.415,355.369,509.608,610.255,809.277,1417.503,0.004,,8606.4,7854.6
1280,7703.2,265.024,0.597,92.676,211.256,385.476,556.309,678.113,969.502,1766.339,0.004,,7703.2,5046.2
1285,7441.8,277.692,0.605,97.513,225.373,413.087,583.801,698.481,917.599,1634.564,0.004,,7441.8,7036.4
1290,6897.4,295.581,0.878,87.062,232.499,448.372,649.595,780.999,1048.426,1894.38,0.003,,6897.4,7528.8
1295,6653,314.117,0.597,100.19,244.603,474.774,679.115,814.596,1101.348,1920.203,0.003,,6653,6781.8
1300,6174.6,330.65,1.074,105.859,266.323,498.386,704.45,833.068,1119.913,1840.407,0.003,,6174.6,555.2
1305,5886,345.146,0.547,101.477,269.329,527.603,757.059,900.041,1189.145,1923.994,0.003,,5886,3851.2
1310,2576.2,1363.318,1.527,133.229,356.787,764.194,6552.31,6811.327,7208.051,8346.521,0.001,,2576.2,0
1315,2303.6,229.418,1.031,91.798,189.504,336.208,464.895,561.157,760.245,1276.049,0.004,,2303.6,9639.6
1320,8861.2,236.81,0.694,71.051,188.515,355.745,515.509,617.474,821.41,1602.775,0.004,,8861.2,8755.6
1325,8300.2,246.437,0.624,83.003,195.692,364.651,528.535,635.805,853.835,2168.571,0.004,,8300.2,8218.6
1330,7720,265.248,0.677,80.312,208.019,397.135,582.429,702.795,948.819,1823.074,0.004,,7720,7715.6
1335,5060,408.801,0.587,101.61,244.925,474.479,809.814,1838.276,2236.792,3211.026,0.002,,5060,6951
1340,6794.8,300.062,0.558,97.277,238.939,446.155,643.309,762.548,1002.04,4566.287,0.003,,6794.8,6731.6
1345,2395.4,858.488,2.224,131.727,324.041,694.429,3444.524,3666.676,3923.976,4710.396,0.001,,2395.4,6317.2
1350,3399.4,1387.603,1.262,106.937,283.57,575.367,9097.307,9371.938,9713.991,10240.202,0.001,,3399.4,6150.6
1355,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,3714.2
1360,6218.2,226.217,0.963,74.072,183.507,339.631,486.268,579.587,765.879,1358.993,0.004,,6218.2,0
1365,9032,225.221,0.835,76.77,185.285,334.124,480.228,571.933,760.277,1455.601,0.004,,9032,9150.4
1370,8289.6,246.727,0.636,74.493,194.739,370.096,540.111,652.302,866.473,1628.814,0.004,,8289.6,8347
1375,8004.6,262.327,0.704,81.999,204.842,393.807,574.005,689.533,917.959,1616.1,0.004,,8004.6,7826.6
1380,7238,278.424,0.734,90.683,224.594,417.331,593.535,707.448,946.535,1887.868,0.004,,7238,7204.6
1385,6706.6,306.253,0.573,95.145,238.141,460.417,672.441,801.388,1066.617,1742.766,0.003,,6706.6,6914.4
1390,6501.2,318.714,1.349,97.627,250.29,486.32,690.348,817.496,1087.087,1783.642,0.003,,6501.2,6883.4
1395,5958.6,345.964,0.557,108.52,259.155,518.93,762.879,916.989,1247.242,2445.393,0.003,,5958.6,4098.6
1400,6105.4,331.911,0.645,94.587,258.324,510.477,733.058,867.734,1138.488,1970.147,0.003,,6105.4,464.4
1405,5839.2,348.68,0.796,110.533,269.578,536.573,756.619,883.423,1160.071,2146.824,0.003,,5839.2,9572
1410,5621.4,370.41,0.937,116.773,286.677,572.53,803.663,932.677,1242.303,2092.803,0.003,,5621.4,8662.4
1415,7504.4,265.237,0.789,82.049,211.24,400.011,576.646,691.316,915.78,1685.428,0.004,,7504.4,8044.8
1420,6210.6,358.02,1.021,108.172,258.869,498.62,839.302,1080.856,1414.427,2156.259,0.003,,6210.6,7498.4
1425,6300.4,300.654,0.676,93.427,243.162,453.686,648.769,773.426,1030.64,1727.343,0.003,,6300.4,6872.8
1430,6659,303.574,0.596,95.877,245.088,463.632,653.235,776.204,1013.413,1953.943,0.003,,6659,6832.8
1435,6535.2,316.552,0.804,103.261,251.382,476.902,679.373,796.713,1078.428,1889.04,0.003,,6535.2,6088.2
1440,6099.8,337.997,0.986,107.432,266.039,511.074,722.116,857.506,1139.888,2153.403,0.003,,6099.8,280.6
1445,5798.2,352.671,1.064,114.012,275.834,535.718,756.393,892.245,1188.875,2030.192,0.003,,5798.2,4139
1450,3117,1776.3,1.227,122.579,329.268,715.854,10992.527,11202.152,11722.293,12682.51,0.001,,3117,8109.2
1455,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,8451.6
1460,2134.6,265.017,1.257,84.876,220.642,395.67,562.83,670.849,871.629,1296.239,0.004,,2134.6,7762.8
1465,8952.8,229.16,0.608,76.518,186.243,339.479,490.432,584.824,800.297,1386.785,0.004,,8952.8,7279.8
1470,8284.2,246.249,0.721,80.585,197.336,368.878,533.037,632.872,838.448,1453.296,0.004,,8284.2,6756.2
1475,7603.2,271.053,0.936,91.389,218.751,402.315,580.941,692.298,910.336,1778.546,0.004,,7603.2,6469.8
1480,7162,286.576,0.881,93.61,232.166,433.938,612.873,720.82,941.067,2700.373,0.003,,7162,4435.4
1485,4414,467.103,1.154,111.546,273.553,555.163,1166.065,1965.801,2299.901,3085.647,0.002,,4414,1955
1490,6093.2,639.701,0.715,104.083,262.361,505.374,851.168,5185.319,5530.664,6259.078,0.002,,6093.2,0
1495,478.4,370.666,3.186,227.491,335.31,478.86,670.581,773.441,983.604,1290.101,0.003,,478.4,4731.2
1500,8619,236.395,0.817,75.988,192.87,349.424,510.902,611.128,824.554,1352.037,0.004,,8619,9171.8
1505,8395.4,244.474,0.588,76.309,192.914,366.233,528.345,638.817,860.299,1716.653,0.004,,8395.4,8405.2
1510,7907.6,261.809,0.501,90.316,215.075,380.351,562.282,660.741,877.306,1591.937,0.004,,7907.6,8014.8
1515,7159.8,284.66,0.539,101.837,229.379,423.953,601.549,712.049,941.034,1908.751,0.004,,7159.8,7208
1520,7077.8,289.386,0.957,82.937,223.392,440.07,641.629,767.873,1015.701,1740.985,0.003,,7077.8,6932.6
1525,6507.6,316.667,0.785,99.04,244.7,480.524,691.547,819.767,1096.726,1871,0.003,,6507.6,6639.2
1530,6384,318.639,1.269,105.809,255.998,486.352,676.371,792.619,1042.653,1683.838,0.003,,6384,4444.2
1535,5939.2,352.879,0.946,118.491,280.081,533.401,749.115,876.009,1176.239,2143.726,0.003,,5939.2,3604.6
1540,5445.6,374.641,0.746,109.15,282.446,573.006,837.874,997.55,1328.79,2521.467,0.003,,5445.6,5888
1545,5534.8,368.216,0.681,117.108,292.533,562.78,787.897,929.095,1253.086,2134.021,0.003,,5534.8,9056.2
1550,5223,395.792,1.238,115.938,310.841,612.999,862.227,1005.492,1327.72,2105.53,0.003,,5223,8543.2
1555,5271.8,384.427,1.248,122.737,302.838,589.765,809.695,951.735,1273.859,3450.149,0.003,,5271.8,7882.2
1560,4669,436.95,1.258,110.472,268.251,522.329,923.812,1878.006,2295.149,3387.99,0.002,,4669,7246.2
1565,6648.8,307.561,0.979,109.494,246.093,451.685,656.092,777.709,1040.719,1750.483,0.003,,6648.8,5109.6
1570,3495,892.744,1.414,103.504,253.19,515.126,5336.461,5568.373,6006.438,6947.035,0.001,,3495,445.4
1575,2794.2,352.33,1.221,131.627,288.72,525.466,727.982,859.222,1138.079,9229.112,0.003,,2794.2,797.4
1580,2117,1729.355,0.964,98.602,291.317,722.903,7699.831,7899.76,8349.483,8886.174,0.001,,2117,0
1585,1321,295.839,2.337,114.483,243.845,443.691,611.978,714.164,950.755,1293.093,0.003,,1321,8030
1590,8942.8,230.865,0.649,82.125,194.279,339.206,484.941,573.356,777.93,1381.108,0.004,,8942.8,8804.4
1595,8362.8,239.523,0.856,84.084,193.461,356.562,510.872,606.331,791.141,1217.948,0.004,,8362.8,8189.6
1600,7881.4,262.91,0.805,85.542,210.711,394.53,566.529,675.724,887.442,1558.207,0.004,,7881.4,7926.6
1605,7257,282.39,0.922,94.792,228.737,425.491,595.441,709.276,950.759,1772.977,0.004,,7257,6991
1610,6855.4,302.226,1.027,88.362,229.315,455.43,674.622,807.648,1094.434,2088.416,0.003,,6855.4,7054.6
1615,6395.8,317.988,0.806,110.03,250.899,477.701,678.097,803.165,1057.096,2177.52,0.003,,6395.8,6487.4
1620,2615.8,2078.548,1.155,102.041,294.268,655.873,11519.633,11758.844,12210.321,12959.969,0,,2615.8,6133.4
1625,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5770
1630,2459.6,273.457,1.13,101.185,221.86,398.625,574.422,694.954,933.808,1480.131,0.004,,2459.6,5817.6
1635,8647.4,237.511,0.659,81.848,192.926,353.67,505.335,604.761,798.446,1669.667,0.004,,8647.4,5434.2
1640,8159.2,250.265,0.585,84.637,205.731,373.37,526.9,624.703,836.838,1430.176,0.004,,8159.2,5235.8
1645,7689.2,264.678,0.649,93.1,214.258,391.196,566.202,666.96,897.513,1602.01,0.004,,7689.2,5520.6
1650,7126.8,289.601,0.988,100.958,236.43,433.92,608.075,721.23,940.545,1756.598,0.003,,7126.8,7495.6
1655,6843.2,300.787,0.75,80.112,223.61,454.926,679.957,826.526,1133.621,2134.858,0.003,,6843.2,4376.8
1660,6430.6,318.975,0.98,106.009,252.701,483.213,681.94,807.721,1055.197,1797.499,0.003,,6430.6,0
1665,6076.6,340.987,0.746,113.961,272.186,512.834,728.505,860.866,1144.494,2013.648,0.003,,6076.6,4668.8
1670,5706.2,388.942,0.719,113.391,275.953,525.799,772.62,910.317,1341.641,8626.27,0.003,,5706.2,3060.6
1675,663,4545.302,1.216,134.856,7552.389,7810.926,8089.237,8223.02,8550.996,9082.781,0,,663,9226.6
1680,3555.4,239.719,1.075,75.301,187.892,360.296,527.457,626.543,828.707,1389.805,0.004,,3555.4,8795.6
1685,8584.4,239.302,0.789,85.593,198.341,351.849,504.994,599.753,793.4,1476.436,0.004,,8584.4,7850.2
1690,8188.8,252.985,0.484,77.385,199.978,382.303,552.699,661.459,883.978,1692.655,0.004,,8188.8,7421.2
1695,7726.4,263.984,0.943,87.551,210.135,396.511,568.862,678.183,908.838,1581.138,0.004,,7726.4,7030.6
1700,6683.6,371.566,0.664,106.042,243.989,466.541,742.286,1562.859,1928.59,3090.667,0.003,,6683.6,6414.6
1705,4986.4,991.744,1.156,115.536,275.954,520.261,879.675,8596.972,9004.816,9735.066,0.001,,4986.4,6361
1710,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5612.6
1715,2819.2,272.076,0.781,82.844,211.871,414.11,601.137,707.919,928.378,1535.56,0.004,,2819.2,3285.2
1720,8467,237.252,0.548,79.714,189.238,353.883,506.9,610.652,796.47,1364.066,0.004,,8467,0
1725,8451.6,260.888,0.677,76.701,197.766,372.811,566.422,741.261,1097.61,1860.986,0.004,,8451.6,4288.8
1730,6736.6,280.346,0.583,97.648,228.917,414.691,590.818,706.767,940.374,1661.837,0.004,,6736.6,8585.6
1735,7177.6,286.795,0.98,95.815,227.104,420.31,619.113,742.13,1000.123,1810.589,0.003,,7177.6,8311.2
1740,6970.2,297.579,0.581,94.722,238.585,450.954,639.996,755.737,989.851,1667.042,0.003,,6970.2,7560.8
1745,6381.2,314.619,1.145,103.597,249.71,477.119,676.277,792.529,1045.98,1782.492,0.003,,6381.2,5737.6
1750,6266.2,330.469,1.435,112.445,260.035,493.733,702.719,837.778,1145.742,1755.452,0.003,,6266.2,6593
1755,5748.6,420.327,0.557,110.096,284.249,551.052,778.13,930.919,1389.604,11692.175,0.002,,5748.6,3636.6
1760,694.6,5598.445,1.08,138.496,9972.694,10260.221,10451.051,10543.563,10762.341,11041.561,0,,694.6,5639.2
1765,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,8418.6
1770,7852.4,235.758,0.647,81.404,191.43,351.084,505.561,587.82,792.708,1296.895,0.004,,7852.4,8130.6
1775,8291.6,247.645,0.665,85.761,200.364,365.919,529.335,629.824,831.325,1528.667,0.004,,8291.6,7697.4
1780,8045.2,254.95,1.018,78.93,204.477,385.559,547.146,651.05,870.297,1545.247,0.004,,8045.2,6924
1785,7256.2,282.763,1.065,91.848,223.094,421.655,610.948,732.231,978.175,2070.932,0.004,,7256.2,6706.2
1790,6837.2,299.218,0.764,96.084,239.044,450.509,646.774,768.488,1007.832,1652.646,0.003,,6837.2,6387.4
1795,6712.8,310.113,0.678,93.994,242.211,475.822,672.576,802.933,1065.225,2287.102,0.003,,6712.8,6200.8
1800,6227.4,326.12,1.155,102.872,258.976,496.161,704.87,832.395,1106.384,1766.075,0.003,,6227.4,5575.6
1805,5740,366.924,1.024,117.221,292.992,553.203,792.571,930.784,1241.267,2197.32,0.003,,5740,3812.4
1810,3206,1504.628,0.644,108.61,293.589,632.216,9384.945,9685.367,10072.836,10900.213,0.001,,3206,0
1815,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,4613.4
1820,5083.6,242.708,0.87,76.962,206.408,360.665,515.345,618.104,792.127,1369.581,0.004,,5083.6,8059.4
1825,8663.4,236.617,0.899,77.26,189.434,354.568,508.557,607.222,809.917,1480.747,0.004,,8663.4,6935.2
1830,8092.6,251.59,0.703,82.596,202.322,373.86,540.233,650.581,865.931,1541.482,0.004,,8092.6,7129.8
1835,7737.8,263.888,0.65,87.504,211.868,395.3,564.713,664.828,873.784,1539.102,0.004,,7737.8,1516.4
1840,4439.6,519.834,0.65,109.376,263.379,518.834,1017.372,2748.938,3036.924,4477.418,0.002,,4439.6,4901.4
1845,5004.6,1012.03,1.019,113.802,278.345,550.744,927.016,8764.938,9171.586,9862.18,0.001,,5004.6,317
1850,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,4734.2
1855,3338.4,247.051,0.859,86.441,206.8,365.042,518.161,612.923,826.888,1416.519,0.004,,3338.4,8594.6
1860,8482.6,241.042,0.552,81.839,196.843,357.898,514.298,610.472,813.351,1560.262,0.004,,8482.6,8331.6
1865,8278.8,251.509,0.782,76.83,201.543,380.346,545.315,652.924,859.808,1542.988,0.004,,8278.8,7592.2
1870,7763.4,262.094,0.793,85.334,211.091,391.443,559.002,669.871,898.195,1552.812,0.004,,7763.4,7115.8
1875,7146.8,286.714,0.841,96.168,232.635,425.409,612.346,733.065,969.681,1669.05,0.003,,7146.8,6741.8
1880,7021.4,293.429,0.905,96.061,238.168,444.271,625.305,735.129,979.891,1930.99,0.003,,7021.4,6500.4
1885,6079.8,332.773,0.92,111.9,264.297,503.499,710.065,842.048,1108.932,1810.556,0.003,,6079.8,6062.2
1890,6258,329.637,0.797,96.767,256.461,506.27,727.063,863.04,1133.672,2297.36,0.003,,6258,5803.4
1895,5896.6,351.095,0.744,106.512,275.305,539.862,762.272,894.902,1176.801,2048.405,0.003,,5896.6,5519.2
1900,6855.2,293.331,0.782,97.131,228.429,420.269,652.731,790.625,1112.746,1954.767,0.003,,6855.2,5356
1905,3299,786.853,1.031,88.105,218.524,430.007,4479.564,4856.884,5020.539,6017.404,0.001,,3299,4894.4
1910,5092.4,295.468,0.606,103.763,239.772,442.979,620.665,736.197,963.666,1533.006,0.003,,5092.4,5098.8
1915,7085.8,289.852,1.169,95.28,230.97,432.516,622.965,743.487,994.41,7581.334,0.003,,7085.8,7106.2
1920,1895.2,1490.159,0.919,99.453,279.189,719.902,5918.269,6165.297,6501.581,7096.138,0.001,,1895.2,7197.6
1925,3614,1744.839,1.493,146.277,314.715,585.478,12559.069,12836.838,13091.737,13939.38,0.001,,3614,3183
1930,0.2,12691.055,12691.055,12691.055,12691.055,12691.055,12691.055,12691.055,12691.055,12691.055,0,,0.2,2998.8
1935,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,4645.6
1940,4513.4,238.116,0.955,76.769,187.267,355.625,519.541,623.242,828.048,1542.205,0.004,,4513.4,8108.4
1945,8627.2,233.668,0.816,86.119,195.924,342.711,485.858,584.031,748.831,1439.76,0.004,,8627.2,8373.8
1950,7993.6,249.248,0.847,84.811,198.889,368.841,536.52,641.641,847.012,1375.74,0.004,,7993.6,7393.2
1955,7905,262.672,0.634,83.615,210.766,397.252,564.899,672.289,881.757,1476.1,0.004,,7905,7165.6
1960,7087.2,288.448,0.831,107.825,234.718,428.079,599.914,708.179,938.804,1470.574,0.003,,7087.2,5461
1965,6851.6,306.93,0.9,100.06,246.254,463.378,657.545,778.163,1028.056,1736.144,0.003,,6851.6,1341.4
1970,6336.8,322.027,0.752,116.407,263.953,479.989,673.285,791.911,1063.217,1941.214,0.003,,6336.8,6255.2
1975,5898.8,347.926,0.796,117.363,277.187,520.895,736.992,875.403,1177.726,2368.994,0.003,,5898.8,3859.8
1980,5611.2,358.3,0.764,115.898,276.963,536.33,793.059,940.636,1225.535,2086.883,0.003,,5611.2,4080.4
1985,5843,360.659,0.554,105.3,274.132,553.361,805.176,961.802,1249.086,2115.856,0.003,,5843,8209
1990,5178.2,383.883,1.258,133.079,305.693,580.168,808.245,945.932,1243.525,2106.358,0.003,,5178.2,7927.6
1995,7284,279.149,0.999,98.988,228.224,416.353,588.996,697.494,909.022,1417.817,0.004,,7284,7051.8
2000,7083.2,291.449,1.505,108.161,241.855,434.407,608.693,708.163,920.441,1696.011,0.003,,7083.2,6112
2005,5274.2,622.931,0.659,107.215,270.924,496.536,846.275,4408.264,4841.738,6016.776,0.002,,5274.2,6433.6
2010,2306.6,352.256,1.403,123.806,285.164,539.258,727.092,854.46,1117.121,1640.071,0.003,,2306.6,6411.8
2015,2018,2074.423,1.219,113.313,295.807,669.302,9142.715,9350.618,9573.004,9979.112,0,,2018,5687.6
2020,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,1159.2
2025,8032.6,238.523,0.729,90.869,197.091,352.121,493.748,586.988,768.957,1427.886,0.004,,8032.6,5234.2
2030,8519.2,242.387,0.722,76.485,193.819,362.345,523.658,632.229,853.121,1625.639,0.004,,8519.2,8210.4
2035,8400,246.034,0.944,82.361,202.195,365.249,524.921,620.922,815.141,1430.776,0.004,,8400,8315
2040,7442.8,275.528,0.643,90.328,220.546,417.684,592.761,705.352,922.985,1520.659,0.004,,7442.8,7404.8
2045,7153.8,286.524,1.112,89.214,225.111,433.017,615.623,736.809,1014.805,1778.596,0.003,,7153.8,7005.2
2050,6498.6,312.714,0.565,99.984,247.791,470.124,683.416,814.219,1059.391,1772.866,0.003,,6498.6,6596.6
2055,6326.6,324.652,1.446,112.372,265.938,489.701,677.214,792.511,1052.783,2067.677,0.003,,6326.6,6269.6
2060,5758.8,360.682,0.642,134.684,290.088,543.108,756.225,894.12,1132.795,1943.009,0.003,,5758.8,5850
2065,1614.2,2652.703,0.975,144.361,345.015,9258.148,9651.181,9876.376,10088.401,10608.494,0,,1614.2,5795
2070,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5505.2
2075,7253.6,246.374,1.019,86.327,202.334,366.86,519.839,615.957,825.621,1429.963,0.004,,7253.6,2871.8
2080,8155.8,255.307,0.925,91.801,211.865,379.712,532.958,628.643,830.204,1351.323,0.004,,8155.8,5404.8
2085,7801,264.309,1.059,91.483,215.274,395.454,564.217,667.767,864.815,1514.73,0.004,,7801,6618
2090,7338,274.431,1.051,92.132,222.469,410.664,590.372,691.563,901.044,1576.846,0.004,,7338,7213
2095,6652,318.099,0.906,111.15,253.082,478.169,676.129,793.903,1068.393,2032.254,0.003,,6652,2068.2
2100,6637.2,306.055,1.044,79.656,224.657,469.019,702.654,845.15,1106.271,2750.028,0.003,,6637.2,4358.6
2105,5786.8,344.176,0.761,119.529,279.657,522.183,718.368,844.347,1114.789,2308.304,0.003,,5786.8,6778.6
2110,5848.6,365.32,0.897,122.729,292.488,545.913,779.505,929.208,1231.002,1950.796,0.003,,5848.6,6135.2
2115,5755.2,340.681,0.815,96.685,256.471,516.747,775.002,932.216,1234.412,2275.429,0.003,,5755.2,6565.4
2120,7445.4,276.883,0.901,96.283,227.567,411.759,586.125,697.666,904.75,1489.976,0.004,,7445.4,7250.4
2125,7336,286.413,1.139,100.536,228.219,424.098,610.375,727.645,967.561,1655.199,0.003,,7336,7335.2
2130,6764,296.828,0.913,109.523,247.858,442.572,613.63,717.806,934.744,1530.364,0.003,,6764,6612
2135,1620,2425.535,1.284,115.166,300.615,8537.852,8891.937,9061.379,9372.189,10359.959,0,,1620,6516.4
2140,473.8,497.221,4.589,225.909,412.598,718.574,1004.378,1148.668,1342.637,1659.067,0.002,,473.8,6108.6
2145,4535.8,1231.261,0.947,107.468,276.77,557.896,1054.748,10447.087,10810.449,11525.768,0.001,,4535.8,5639.8
2150,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,1472.6
2155,1890.4,257.52,1.505,88.053,208.869,379.54,559.036,664.75,883.303,1538.512,0.004,,1890.4,2975.2
2160,8811.8,232.831,1.181,75.009,186.754,348.867,501.841,602.251,795.61,1535.291,0.004,,8811.8,8597.2
2165,8037,254.865,0.863,81.229,204.167,381.722,551.382,656.705,879.854,1544.456,0.004,,8037,8079.4
2170,7761.6,266.979,0.794,89.25,214.576,399.768,567.803,679.814,895.378,1499.978,0.004,,7761.6,7867.8
2175,6765.2,301.967,0.928,102.089,245.381,453.409,639.481,751.393,998.213,1663.914,0.003,,6765.2,6977.6
2180,6314.6,319.484,0.751,93.115,252.739,479.649,701.831,843.144,1120.537,2168.096,0.003,,6314.6,7009
2185,6339.6,322.113,1.279,110.081,261.371,480.721,679.969,811.69,1076.653,1979.318,0.003,,6339.6,4194.8
2190,4303.6,1126.178,1.157,126.641,311.699,619.027,1293.047,8608.837,8804.566,9515.239,0.001,,4303.6,4490.8
2195,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,0
2200,5294,245.532,1.041,83.957,200.278,373.123,522.943,598.354,801.742,1362.224,0.004,,5294,0
2205,8792.6,231.985,0.912,76.845,188.095,345.592,499.528,594.311,791.614,1427.719,0.004,,8792.6,4405.2
2210,8017,256.193,0.536,83.125,210.137,381.517,548.761,651.038,860.466,1472.945,0.004,,8017,6898.2
2215,7307.2,283.779,0.585,95.514,226.913,424.35,600.849,724.853,963.336,1778.302,0.004,,7307.2,8204.6
2220,7010.2,290.516,1.263,95.836,232.963,438.091,618.514,733.121,976.847,2000.818,0.003,,7010.2,7481.4
2225,3321.2,910.123,0.831,104.523,256.996,537.472,5207.96,5453.529,5829.821,6568.961,0.001,,3321.2,7124
2230,3281.6,328.049,1.249,119.898,269.915,484.368,672.433,784.749,1018.423,4973.496,0.003,,3281.6,6685.6
2235,2018.2,1006.47,0.847,113.169,277.86,641.453,3934.083,4174.358,4417.244,4940.892,0.001,,2018.2,6243.8
2240,8752.4,232.965,0.682,76.367,189.606,348.013,495.689,595.51,809.334,1458.106,0.004,,8752.4,5660.8
2245,7923.2,258.929,0.696,89.599,209.475,383.56,548.331,659.669,882.555,1693.895,0.004,,7923.2,1526.4
2250,8027.6,256.346,0.937,79.122,201.483,383.821,561.701,671.819,905.15,1761.127,0.004,,8027.6,5202.4
2255,7358.6,281.859,1.097,96.84,229.545,421.17,598.451,714.023,947.265,1805.283,0.004,,7358.6,8101.2
2260,6950.6,292.056,0.968,101.732,232.576,435.864,620.747,739.314,980.555,2005.973,0.003,,6950.6,8056.4
2265,6720.8,308.01,0.742,94.253,239.115,466.581,679.244,806.917,1047.598,1699.865,0.003,,6720.8,7331.4
2270,6271.8,323.982,1.493,112.414,264.275,490.195,680.335,800.837,1032.41,1820.878,0.003,,6271.8,6987.8
2275,5709.2,361.968,0.643,130.362,286.825,543.98,761.145,901.061,1203.877,2013.159,0.003,,5709.2,4073
2280,1821.2,1764.595,0.776,135.647,342.714,818.423,6854.991,7041.13,7363.197,8342.305,0.001,,1821.2,4699.8
2285,3370.6,248.667,0.927,83.237,209.214,369.83,527.012,622.319,818.429,1224.254,0.004,,3370.6,374.4
