Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
255,7604.2,269.953,0.622,96.01,223.379,398.12,568.863,667.485,864.814,1417.434,0.004,,7604.2,6914.6
260,7195.6,286.359,0.76,92.916,231.147,429.555,619.928,731.393,964.283,1876.969,0.003,,7195.6,6441.4
265,6703.8,306.051,0.838,113.42,246.166,457.866,644.968,753.317,973.513,1595.268,0.003,,6703.8,6380.6
270,6389.4,315.199,0.717,94.852,241.584,475.891,701.027,841.034,1114.544,1949.228,0.003,,6389.4,6035.8
275,6191.6,332.971,0.736,105.368,262.42,511.749,714.348,841.839,1137.621,1907.325,0.003,,6191.6,5787.2
280,6085.8,341.121,0.919,105.147,265.601,515.647,742.468,887.019,1191.271,2136.641,0.003,,6085.8,5894
285,5713,355.71,0.965,114.927,281.762,539.923,758.488,896.252,1183.474,2856.344,0.003,,5713,7925.6
290,5262.4,382.879,0.938,126.544,288.515,549.115,858.282,1062.22,1370.343,2697.327,0.003,,5262.4,7140.8
295,6898.2,706.903,0.554,93.997,226.602,444.967,709.428,7475.401,7977.094,8842.617,0.001,,6898.2,7089.8
300,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,6755.8
305,3884.4,358.15,0.945,109.848,271.309,505.579,730.248,868.705,1212.267,6206.826,0.003,,3884.4,6008.4
310,1064.4,1922.234,0.946,72.177,287.274,4836.788,5047.744,5166.859,5364.038,5818.348,0.001,,1064.4,6195.2
315,8618.6,219.188,0.714,66.476,184.727,326.615,470.157,560.639,750.426,1480.21,0.005,,8618.6,1348.4
320,8852.4,231.653,0.579,75.787,183.562,348.41,504.648,594.43,803.029,1555.069,0.004,,8852.4,6493.4
325,8251.2,252.301,0.729,82.914,199.932,377.513,544.974,652.701,865.855,1501.412,0.004,,8251.2,8646.8
330,7489.8,274.057,0.921,88.954,218.008,410.659,591.986,699.464,933.064,1772.43,0.004,,7489.8,8027.2
335,5682.2,359.061,0.719,98.966,246.571,481.66,808.712,1197.006,1706.153,2566.686,0.003,,5682.2,7340.6
340,2196.2,1559.304,0.638,112.404,276.701,633.026,7158.289,7324.541,7591.827,8247.797,0.001,,2196.2,7181.2
345,3189,199.006,0.696,50.093,158.687,304.097,447.653,537.175,720.435,1206.091,0.005,,3189,6555
350,9742.2,211.184,0.545,64.869,171.84,317.663,455,546.475,730.99,1468.86,0.005,,9742.2,5328.6
355,8923,230.456,0.59,70.862,177.559,347.771,507.691,611.286,817.308,1574.322,0.004,,8923,0
360,8050,256.161,0.579,90.997,207.739,375.041,544.42,652.195,885.6,1482.302,0.004,,8050,4804.4
365,7518.4,273.142,0.625,95.795,224.012,402.677,569.192,668.44,892.831,2659.197,0.004,,7518.4,9140
370,4981.4,416.171,0.635,114.464,276.973,501.353,869.39,1689.309,2037.368,2931.262,0.002,,4981.4,8524.4
375,6007.4,505.639,0.719,101.107,252.248,491.575,796.29,3336.705,3737.976,4758.301,0.002,,6007.4,8021
380,4223.2,237.362,0.608,76.443,186.78,347.16,522.538,637.446,856.42,1570.821,0.004,,4223.2,7213.4
385,8695,235.925,0.642,74.5,188.594,350.32,515.418,612.492,830.618,1497.089,0.004,,8695,6919.4
390,8091.8,253.156,0.751,80.869,201.718,386.809,543.837,640.41,867.695,1805.001,0.004,,8091.8,5175.4
395,7611.6,267.719,0.684,88.268,217.485,400.093,572.192,680.734,901.614,1459.786,0.004,,7611.6,4073
400,7088,293.179,0.716,90.504,227.586,445.338,638.863,757.869,1038.419,1660.806,0.003,,7088,6043.2
405,6590,308.028,0.549,100.411,243.077,467.004,663.606,784.522,1036.608,1678.151,0.003,,6590,5998.2
410,6420.4,321.207,0.634,91.158,246.187,489.643,715.739,855.568,1164.037,2018.838,0.003,,6420.4,5688
415,6204.4,335.243,0.986,100.111,259.844,508.798,743.335,885.549,1170.265,2094.321,0.003,,6204.4,5539.2
420,4593.4,597.16,0.655,100.773,273.357,565.587,1070.82,3480.313,3844.881,4874.216,0.002,,4593.4,5691.8
425,5226.2,247.558,0.657,83.401,204.465,371.298,527.564,618.389,811.398,1312.015,0.004,,5226.2,6774.6
430,5858.2,349.561,0.6,103.516,236.365,433.516,749.208,1306.685,1670.462,2374.397,0.003,,5858.2,1816.4
435,7412.2,282.969,0.67,95.844,228.956,418.266,604.503,722.116,947.867,1521.668,0.004,,7412.2,6682.2
440,3407,847.269,0.585,88.895,242.846,505.804,4934.809,5141.643,5472.055,6473.763,0.001,,3407,5762
445,3566.2,500.302,0.866,118.027,275.54,506.041,726.826,895.311,6817.525,7660.248,0.002,,3566.2,1694.4
450,525,3779.16,0.576,133.394,6144.307,6296.711,6460.521,6502.733,6764.638,7223.5,0,,525,7029.8
455,6689.4,211.598,0.846,76.375,175.045,315.858,442.381,520.143,692.345,1259.381,0.005,,6689.4,7740.8
460,9314.6,223.211,0.663,70.198,179.06,330.229,485.917,588.362,802.274,1415.138,0.004,,9314.6,7304
465,8531.4,240.057,0.576,78.132,192.208,360.113,516.348,615.47,823.206,1416.946,0.004,,8531.4,7172.8
470,7841.2,260.011,0.573,80.466,203.437,390.459,570.787,684.469,902.961,1728.903,0.004,,7841.2,5217.4
475,7307.4,280.315,0.77,104.488,226.662,419.088,591.675,690.311,923.879,1615.92,0.004,,7307.4,4998.4
480,6837.2,300.565,0.681,92.835,235.442,457.955,655.396,780.573,1025.537,1733.589,0.003,,6837.2,4133.8
485,6665,304.202,1.01,98.243,242.776,458.515,650.699,775.516,1027.841,1741.767,0.003,,6665,6767.6
490,6189.4,333.403,0.685,116.064,256.462,505.103,709.977,834.564,1093.366,1793.071,0.003,,6189.4,8962.4
495,6047.4,343.627,0.562,99.944,260.905,517.215,763.609,923.784,1291.885,2348.064,0.003,,6047.4,8440.2
500,5745.2,349.212,1.105,105.459,263.312,533.367,772.651,913.101,1227.977,2372.975,0.003,,5745.2,7793.4
505,6266.4,319.47,0.725,107.295,253.861,476.052,678.678,807.289,1120.634,2173.263,0.003,,6266.4,7177.4
510,8023.8,255.919,0.561,82.906,206.461,382.675,549.475,661.027,887.452,1781.037,0.004,,8023.8,6949.4
515,7741.4,262.793,0.713,85.641,208.426,396.403,568.054,677.116,886.726,1545.028,0.004,,7741.4,6364.6
520,5312.2,891.583,0.756,103.627,243,479.51,789.467,8151.946,8512.624,9295.875,0.001,,5312.2,6060.8
525,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5962.6
530,4523.4,314.067,0.925,110.856,260.497,466.928,657.468,773.252,999.764,1720.159,0.003,,4523.4,669.2
535,6867.4,298.483,0.849,97.758,235.21,453.934,638.477,758.956,1017.881,2124.368,0.003,,6867.4,7776.8
540,6392.4,325.074,0.786,100.967,252.6,495.615,699.993,838.834,1105.203,2081.046,0.003,,6392.4,8381
545,4559.8,779.758,0.679,99.622,277.317,564.859,1113.414,5435.161,5849.776,6938.496,0.001,,4559.8,7787.8
550,2052.8,231.604,0.818,83.795,195.05,343.998,482.033,564.24,742.546,1167.345,0.004,,2052.8,7382.2
555,9362.4,218.89,0.542,65.422,174.749,330.231,480.458,570.549,755.083,1394.149,0.005,,9362.4,3088.8
560,8839.8,231.691,0.522,71.706,181.93,345.45,507.008,610.982,816.942,1525.533,0.004,,8839.8,5942.4
565,8382.8,245.017,0.596,79.611,197.595,367.079,523.772,629.221,833.909,1456.881,0.004,,8382.8,6580.8
570,7320.4,278.614,0.799,95.142,225.679,417.417,589.175,693.391,921.036,1571.893,0.004,,7320.4,6159.2
575,7167,286.17,0.658,99.055,228.808,428.199,612.53,724.7,947.936,1659.318,0.003,,7167,5927.6
580,6490.2,316.717,0.934,106.062,245.27,475.474,687.864,816.15,1080.118,1811.662,0.003,,6490.2,5864.4
585,5768,361.543,0.66,124.445,292.523,546.159,756.355,898.292,1184.463,2025.553,0.003,,5768,4971
590,5936.4,342.199,1.041,101.11,268.852,513.501,758.425,897.221,1196.497,1983.169,0.003,,5936.4,7241.6
595,5860.4,342.616,0.856,111.437,267.04,522.758,734.044,870.386,1157.784,1922.433,0.003,,5860.4,6745.4
600,5662.2,366.497,1.06,116.614,290.287,564.412,785.794,923.556,1213.997,1907.277,0.003,,5662.2,6385.8
605,5372.6,375.534,0.663,122.689,289.495,577.443,791.728,929.516,1259.237,2411.72,0.003,,5372.6,6081.2
610,5746,357.055,1.136,111.271,273.87,542.829,778.715,923.117,1259.285,2258.992,0.003,,5746,6066.4
615,7295.6,282.923,0.6,98.06,221.771,416.899,600.341,718.901,961.085,6373.978,0.004,,7295.6,5572.6
620,1236.6,1893.908,0.888,102.972,291.363,5192.449,5430.441,5559.367,5813.441,6398.15,0.001,,1236.6,5476.2
625,4889.6,813.661,0.835,114.824,283.555,544.529,957.031,6207.229,6598.251,7494.28,0.001,,4889.6,5288.4
630,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5187.2
635,8028.4,232.097,0.553,71.865,187.053,343.245,507.058,610.216,816.739,1383.073,0.004,,8028.4,233.2
640,8548.8,237.376,0.53,72.313,186.932,360.38,524.476,617.606,831.627,1596.241,0.004,,8548.8,7693.6
645,8077.8,250.972,0.496,79.583,197.915,376.751,547.628,651.335,861.429,1598.379,0.004,,8077.8,8381
650,7640.8,272.281,0.559,94.693,221.203,405.983,578.08,688.003,905.542,1416.633,0.004,,7640.8,7379
655,7153.6,285.019,0.608,94.776,227.826,428.924,606.611,720.37,959.747,1679.54,0.004,,7153.6,7119.6
660,6521,313.764,0.683,105.371,251.751,475.155,667.442,788.406,1031.12,1792.422,0.003,,6521,6605.2
665,6100,338.051,0.533,110.353,272.363,511.758,719.696,848.194,1121.702,1954.458,0.003,,6100,6306.8
670,5972.4,351.487,0.793,108.932,274.614,534.422,770.483,910.709,1178.755,1817.187,0.003,,5972.4,1148.6
675,5780.8,350.694,0.638,99.409,266.608,540.837,781.879,929.772,1224.043,1965.973,0.003,,5780.8,3084.8
680,5640.2,361.803,0.702,113.62,282.182,555.337,772.56,919.339,1244.025,2530.326,0.003,,5640.2,8986.6
685,5307.8,385.149,1.392,115.727,301.515,589.162,826.513,984.589,1342.271,2512.299,0.003,,5307.8,8230
690,5594.4,362.604,1.28,117.609,280.269,558.206,776.089,910.119,1223.492,2499.414,0.003,,5594.4,7611.6
695,6946.6,291.744,0.761,94.866,231.503,439.155,642.87,738.724,985.483,1674.626,0.003,,6946.6,7120.4
700,1571.8,1870.748,1.449,94.219,250.674,6245.26,6648.572,6803.885,7077.764,7697.975,0.001,,1571.8,6611.6
705,3646.8,339.1,0.755,110.862,259.827,493.573,707.291,823.718,1068.034,8198.131,0.003,,3646.8,6337.4
710,1196.2,2566.281,0.704,101.714,306.414,7077.162,7340.861,7391.538,7564.903,7796.527,0,,1196.2,5963.2
715,3732.8,243.839,0.683,86.228,207.899,345.581,505.178,625.352,864.534,1409.504,0.004,,3732.8,5863.2
720,9062.6,228.793,0.49,71.469,183.771,338.917,495.987,595.012,809.92,1714.401,0.004,,9062.6,5669
725,8424.2,241.274,0.767,77.902,190.064,359.936,524.831,624.522,837.486,1386.99,0.004,,8424.2,5541.2
730,7795.8,268.735,0.842,90.076,213.813,401.588,574.414,686.89,907.216,1650.56,0.004,,7795.8,5255.8
735,7274.8,278.63,0.929,90.546,222.01,420.554,594.983,711.743,955.634,1875.202,0.004,,7274.8,7511.4
740,6944.6,296.13,0.83,83.306,225.484,454.805,659.977,784.984,1053.356,1911.184,0.003,,6944.6,7458.2
745,6411.6,319.691,0.67,107.291,249.118,480.972,682.785,815.786,1089.251,2187.967,0.003,,6411.6,7065.2
750,6216.2,334.671,0.8,98.795,253.087,503.089,739.691,902.36,1231.034,2290.848,0.003,,6216.2,6733.6
755,6236.8,321.199,0.875,94.277,242.891,489.718,713.179,858.857,1149.951,2004.711,0.003,,6236.8,6348.2
760,8271,246.919,0.779,69.621,186.919,373.514,554.229,671.037,902.417,1588.151,0.004,,8271,5692.6
765,7749.4,264.073,0.84,83.785,208.742,398.195,572.712,681.229,905.423,1625.364,0.004,,7749.4,6038.8
770,7241.8,289.549,0.779,94.961,225.182,428.125,626.132,751.596,1009.433,1985.656,0.003,,7241.8,1235.4
775,6802.4,298.266,0.617,83.639,234.803,453.762,657.291,786.238,1054.606,1753.834,0.003,,6802.4,8707
780,6693.8,305.554,0.872,103.682,241.643,460.533,658.555,773.815,1018.782,1854.796,0.003,,6693.8,8103.4
785,5888.4,347.232,0.728,124.519,269.019,522.306,747.765,879.544,1149.411,2015.886,0.003,,5888.4,7836
790,5522.8,1084.002,0.862,106.301,280.625,579.84,965.187,10387.057,10788.651,11638.774,0.001,,5522.8,5006.8
795,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,1024.4
800,417.2,347.604,2.493,188.569,301.575,481.759,651.257,739.038,970.071,1452.767,0.003,,417.2,1340.4
805,9118,222.963,0.678,69.882,179.929,333.373,481.962,578.977,773.943,1427.732,0.004,,9118,9687.4
810,8376,244.709,0.565,79.208,192.944,366.517,532.4,637.076,854.927,1527.783,0.004,,8376,8886.8
815,7941.4,258.097,0.548,82.384,208.555,386.01,554.949,664.567,888.639,1485.442,0.004,,7941.4,8103.4
820,7251.6,285.443,0.846,98.334,228.859,423.923,610.218,722.048,961.808,1618.72,0.004,,7251.6,7674.8
