[INFO ] 2025-06-29 04:14:16,451 [main]  com.oltpbenchmark.ThreadBench runRateLimitedMultiPhase - TERMINATE :: Waiting for all terminals to finish ..
[INFO ] 2025-06-29 04:14:16,666 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Starting WatchDogThread
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - ======================================================================
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - Rate limited reqs/s: Results(state=EXIT, nanoSeconds=3600000000012, measuredRequests=21259744) = 5905.484444424759 requests/sec (throughput), 6428.25027775635 requests/sec (goodput)
[INFO ] 2025-06-29 04:14:21,078 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output Raw data into file: tpcc_2025-06-29_04-14-21.raw.csv
[INFO ] 2025-06-29 04:14:36,675 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Worker Thread Status:


[INFO ] 2025-06-29 04:14:36,984 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output samples into file: tpcc_2025-06-29_04-14-21.samples.csv
[INFO ] 2025-06-29 04:14:37,642 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output summary data into file: tpcc_2025-06-29_04-14-21.summary.json
[INFO ] 2025-06-29 04:14:37,647 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS parameters into file: tpcc_2025-06-29_04-14-21.params.json
[INFO ] 2025-06-29 04:14:37,651 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS metrics into file: tpcc_2025-06-29_04-14-21.metrics.json
[INFO ] 2025-06-29 04:14:37,653 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output benchmark config into file: tpcc_2025-06-29_04-14-21.config.xml
[INFO ] 2025-06-29 04:14:37,674 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output results into file: tpcc_2025-06-29_04-14-21.results.csv with window size 5
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - Workload Histograms:

Completed Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [10396495] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [10033542] *****************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.OrderStatus/03                      [  932932] *******
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [  844793] ******
com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel/05                       [  933939] *******

Aborted Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [104849] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [ 87491] ******************************************************************

Rejected Transactions (Server Retry):
<EMPTY>

Rejected Transactions (Retry Different):
<EMPTY>

Unexpected SQL Errors:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [ 519] **************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [2914] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [2214] ************************************************************

Unknown Status Transactions:
<EMPTY>


[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[1]+  완료                  nohup ./run_tpcc.sh > tmp2 1>&1
minsky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ ^C





insky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ cat results/tpcc_2025-06-29_04-14-21.results.csv
Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
600,6385.800,321.613,1.041,107.696,252.640,491.360,689.565,812.360,1067.628,1724.144,0.003
605,6081.200,339.102,0.739,107.878,265.545,517.163,729.346,859.343,1148.116,1847.837,0.003
610,6066.400,336.292,1.044,106.425,265.161,514.263,717.902,845.792,1114.467,2045.153,0.003
615,5572.600,368.665,1.161,123.839,297.932,560.881,767.867,895.968,1218.559,2312.896,0.003
620,5476.200,373.930,0.761,105.590,281.875,575.824,820.848,983.917,1349.488,2815.920,0.003
625,5288.400,384.969,0.900,113.317,295.132,595.456,839.814,991.570,1366.609,2427.354,0.003
630,5187.200,607.877,1.094,118.044,313.604,622.193,950.261,1378.015,5865.176,6796.040,0.002
635,233.200,4302.688,1.850,5114.780,5214.402,5307.134,5508.561,5622.651,5783.220,5980.533,0.000
640,7693.600,255.969,0.781,80.073,206.025,379.874,559.774,662.761,895.154,1442.354,0.004
645,8381.000,245.420,0.737,80.390,196.295,368.644,528.379,628.039,838.456,1791.790,0.004
650,7379.000,278.467,0.546,98.295,226.372,413.549,583.840,689.516,910.628,1587.489,0.004
655,7119.600,287.292,0.738,81.541,219.866,437.932,633.538,763.718,1035.706,1712.071,0.003
660,6605.200,316.372,0.916,104.438,246.385,469.814,687.733,823.626,1105.673,1964.144,0.003
665,6306.800,338.111,0.686,93.795,248.092,481.192,709.777,861.932,1204.767,9451.440,0.003
670,1148.600,2732.524,0.707,61.514,288.077,7460.186,7762.162,7895.297,8118.259,8538.558,0.000
675,3084.800,259.239,1.088,88.540,212.534,377.403,548.850,657.888,932.164,1634.055,0.004
680,8986.600,228.582,0.509,66.329,175.493,341.235,510.241,614.102,849.468,1680.124,0.004
685,8230.000,248.820,0.595,75.840,192.752,373.235,545.773,656.089,886.685,2056.066,0.004
690,7611.600,270.833,0.619,85.114,217.882,407.370,588.254,699.685,918.866,1383.922,0.004
695,7120.400,290.268,0.579,97.666,230.968,438.794,621.214,735.606,973.130,1778.895,0.003
700,6611.600,308.596,0.844,102.702,247.729,459.099,663.830,786.223,1057.426,1654.285,0.003
705,6337.400,327.391,1.104,112.849,258.513,492.128,690.905,818.376,1102.541,2285.697,0.003
710,5963.200,336.961,1.000,110.679,273.415,505.681,717.777,841.693,1112.891,1966.574,0.003
715,5863.200,349.949,0.717,111.297,269.117,529.318,758.662,898.053,1208.964,2418.834,0.003
720,5669.000,364.915,0.755,106.067,278.845,559.402,806.534,956.613,1283.818,2468.302,0.003
725,5541.200,371.319,0.713,117.104,293.769,566.341,792.370,945.131,1253.298,2050.504,0.003
730,5255.800,391.198,1.222,123.021,307.307,599.324,834.168,976.948,1308.406,2437.348,0.003
735,7511.400,266.151,0.861,83.584,208.357,400.633,579.187,691.774,941.205,1704.359,0.004
740,7458.200,273.195,0.497,93.502,219.344,404.493,589.503,708.195,931.228,1730.507,0.004
745,7065.200,285.421,0.793,90.192,221.895,425.795,623.134,753.534,1008.404,1756.440,0.004
750,6733.600,312.943,0.613,96.022,251.579,477.709,676.859,807.980,1043.465,1879.432,0.003
755,6348.200,325.671,0.756,104.520,251.531,494.957,704.677,839.470,1122.841,1798.803,0.003
760,5692.600,355.866,1.033,118.562,272.715,547.935,772.115,884.904,1119.712,2397.422,0.003
765,6038.800,345.066,0.555,106.847,268.414,514.080,751.842,887.312,1189.721,6050.132,0.003
770,1235.400,1587.108,0.805,85.350,291.286,4250.714,4535.774,4714.751,4944.469,5673.683,0.001
775,8707.000,241.265,0.558,72.152,189.871,359.058,533.329,645.405,867.215,1884.990,0.004
780,8103.400,249.533,0.829,86.122,202.673,373.846,529.973,621.165,826.301,1538.237,0.004
785,7836.000,262.626,0.661,88.884,212.945,389.296,562.462,665.261,878.477,1575.219,0.004
790,5006.800,621.792,0.647,91.972,241.570,483.011,853.980,4402.623,4770.508,11085.360,0.002
795,1024.400,2640.399,2.558,200.195,497.939,6016.628,6415.372,6549.393,6805.359,7304.605,0.000
800,1340.400,221.649,0.846,75.807,188.299,329.379,459.568,551.552,710.390,1088.920,0.005
805,9687.400,212.563,0.580,64.664,171.781,315.653,461.934,561.205,761.734,1608.730,0.005
810,8886.800,231.021,0.644,70.209,180.565,346.659,511.847,609.487,815.877,1397.682,0.004
815,8103.400,254.330,0.605,90.966,209.028,361.554,536.260,649.249,901.403,1755.432,0.004
820,7674.800,265.570,0.663,80.055,211.217,398.345,580.529,692.659,927.064,1761.150,0.004
825,7344.400,277.867,0.638,85.986,217.803,420.786,607.770,728.308,963.240,1866.258,0.004
830,6954.000,295.827,0.724,97.048,235.339,441.658,634.918,759.297,1007.795,1786.198,0.003
835,6556.800,314.860,0.885,101.328,247.669,476.578,681.956,805.173,1075.882,1748.288,0.003
840,5919.400,349.728,0.865,117.253,282.740,529.363,733.753,868.794,1155.158,1993.285,0.003
845,5642.800,360.389,0.975,110.281,276.144,551.034,780.732,923.756,1260.280,2787.558,0.003
850,5831.000,357.093,0.947,113.502,282.751,537.956,772.013,922.984,1224.160,2149.641,0.003
855,5408.000,370.409,1.040,117.908,285.881,573.929,790.217,924.955,1272.322,2639.690,0.003
860,5450.200,383.757,1.423,121.240,293.046,594.308,819.625,961.749,1304.656,2294.078,0.003
865,5816.800,340.300,1.095,112.779,262.561,515.986,730.709,863.011,1153.575,2086.701,0.003
870,7819.600,261.220,0.732,85.527,210.251,391.543,562.716,664.312,887.649,1645.788,0.004
875,5094.600,570.027,0.904,104.769,243.685,466.942,781.373,3889.931,4305.304,5211.004,0.002
880,3680.000,341.256,0.882,115.893,267.864,504.258,707.712,836.638,1114.632,7990.283,0.003
885,1275.800,2233.497,1.107,100.786,301.676,6374.133,6661.443,6782.056,6994.638,7294.158,0.000
890,5051.200,233.195,0.555,88.996,198.772,343.504,477.685,555.232,744.838,1240.228,0.004
895,8968.200,228.856,0.602,69.716,180.974,341.795,505.735,611.857,797.629,1372.559,0.004
900,8491.200,242.135,0.593,74.871,187.837,360.010,531.570,641.053,863.516,1546.234,0.004
905,7715.600,265.168,0.689,86.354,210.318,398.122,571.427,676.869,912.260,1590.125,0.004
910,7133.200,288.838,0.851,98.222,230.844,428.370,620.122,733.905,984.226,1782.768,0.003
915,6979.200,293.801,0.670,91.870,231.639,447.535,636.283,752.100,1010.471,1774.116,0.003
920,5326.600,867.507,1.035,106.445,260.375,536.755,918.532,7464.528,7956.262,8774.967,0.001
925,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
930,6899.000,213.805,0.564,73.477,177.999,311.847,452.430,552.078,758.657,1438.336,0.005
935,9361.400,219.835,0.628,75.761,180.373,328.182,467.879,552.386,728.631,1430.884,0.005
940,8748.400,243.526,0.626,76.835,193.845,364.910,525.434,632.429,841.185,1497.168,0.004
945,7829.800,253.227,0.760,80.626,204.237,381.083,549.414,649.419,852.272,1343.492,0.004
950,6871.200,423.141,0.790,103.052,246.477,457.970,717.451,2512.820,2918.137,4041.069,0.002
955,3689.600,351.545,1.147,107.382,274.210,497.957,696.008,821.242,1202.797,5403.869,0.003
960,1829.800,1054.798,1.085,125.518,292.780,676.561,4003.674,4140.577,4350.948,5192.888,0.001
965,8729.200,233.425,0.643,73.478,184.262,346.906,504.645,606.979,858.923,1511.036,0.004
970,8654.800,239.340,0.609,80.335,192.509,354.034,513.155,615.183,831.519,1522.477,0.004
975,8143.800,251.545,0.643,83.623,201.282,370.778,541.894,648.552,865.215,1748.643,0.004
980,7364.400,274.700,0.659,90.071,222.228,415.540,586.745,691.427,928.464,1856.684,0.004
985,6920.000,303.515,0.668,91.380,237.074,458.387,659.505,791.992,1075.243,1954.120,0.003
990,6196.000,323.392,0.620,93.042,249.784,467.135,742.459,952.390,1192.760,2293.063,0.003
995,8789.400,234.473,0.684,77.572,182.431,348.150,512.995,615.004,818.149,1441.256,0.004
1000,8080.200,253.368,0.534,80.360,204.842,381.238,543.888,647.593,858.081,1505.968,0.004
1005,7428.400,274.622,0.774,93.000,219.983,410.623,589.178,695.284,911.179,1627.912,0.004
1010,3632.400,759.348,0.588,97.864,235.357,471.546,4452.755,4729.642,5142.883,5752.993,0.001
1015,4202.000,326.541,0.828,115.315,266.045,478.128,661.295,772.956,1023.265,5438.634,0.003
1020,1466.400,1371.139,1.046,121.185,279.098,4194.975,4504.945,4662.064,4887.764,5416.366,0.001
1025,8456.600,241.277,0.546,71.307,188.221,358.747,535.864,649.779,873.670,1598.616,0.004
1030,8272.600,247.581,0.849,79.668,196.796,371.892,531.016,637.719,867.274,1716.774,0.004
1035,7975.000,256.944,0.896,87.378,208.885,374.297,553.500,662.286,900.141,1734.361,0.004
1040,7422.800,278.379,0.799,89.135,221.138,421.324,601.688,712.316,935.223,1527.021,0.004
1045,7055.400,293.289,0.675,89.716,226.772,447.091,644.316,770.268,1013.474,1655.696,0.003
1050,6488.000,314.512,0.739,99.402,252.391,474.557,679.965,806.023,1055.977,2153.828,0.003
1055,6153.800,329.672,0.935,98.662,254.402,499.688,729.748,876.907,1178.797,2185.246,0.003
1060,6200.800,336.105,0.869,108.498,264.629,514.516,717.505,848.521,1119.752,1976.421,0.003
1065,5803.200,349.504,0.790,109.131,272.417,537.470,752.261,891.308,1183.259,1908.314,0.003
1070,5549.400,366.741,1.000,114.178,275.334,560.500,806.237,953.902,1262.487,2370.315,0.003
1075,7615.000,271.419,0.843,88.676,214.160,410.278,587.482,697.280,906.299,1817.334,0.004
1080,6743.400,617.641,0.663,102.415,244.356,465.747,732.976,5567.606,6108.538,6797.672,0.002
1085,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1090,4839.000,999.575,0.717,113.865,281.308,553.417,979.435,8353.106,8792.743,9825.669,0.001
1095,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,4946.000,240.991,1.165,74.217,198.648,361.722,515.010,613.460,816.086,1461.265,0.004
1105,9116.400,227.112,0.681,75.089,183.497,339.175,485.834,578.106,759.248,1705.636,0.004
1110,8130.400,252.337,0.640,90.474,203.704,377.708,533.541,630.088,844.655,1506.314,0.004
1115,7669.200,264.732,0.925,86.352,207.968,397.018,577.107,684.897,905.371,1887.037,0.004
1120,7269.000,280.862,0.767,96.539,229.701,419.566,596.370,704.880,936.171,1659.051,0.004
1125,6830.400,305.731,0.744,90.716,233.632,468.925,673.482,791.491,1062.486,1842.272,0.003
1130,6535.200,313.322,1.008,102.985,249.382,472.389,669.876,797.461,1058.775,1842.628,0.003
1135,6027.600,337.114,0.756,108.685,267.414,515.610,720.927,841.405,1123.102,2024.385,0.003
1140,5759.800,363.892,1.038,122.093,284.304,549.672,764.340,916.881,1262.791,2240.303,0.003
1145,5797.600,348.509,0.696,104.478,269.009,533.670,760.096,912.988,1230.178,2523.501,0.003
1150,5382.600,378.196,0.937,126.737,303.305,573.634,795.062,928.203,1242.400,2185.117,0.003
1155,5232.800,394.762,0.950,120.924,308.809,605.041,839.846,993.324,1387.398,2585.040,0.003
1160,4877.600,419.896,1.349,132.544,324.680,648.109,896.146,1041.759,1422.067,2337.951,0.002
1165,6970.800,295.095,0.521,96.593,228.775,431.013,643.218,780.800,1103.016,2090.252,0.003
1170,7021.400,285.878,0.613,103.396,230.831,425.353,600.836,711.097,960.004,1579.533,0.003
1175,4617.200,668.772,1.050,96.308,246.284,486.821,918.588,4677.630,4989.812,5913.899,0.001
1180,2956.000,343.218,1.845,127.391,284.859,510.611,715.610,841.372,1083.398,1920.136,0.003
1185,4804.000,739.366,0.899,95.229,263.403,531.657,994.680,5419.849,5724.688,6871.606,0.001
1190,2013.400,264.717,0.668,109.089,232.669,370.622,551.551,667.170,856.759,1419.196,0.004
1195,9046.000,224.433,0.784,79.997,187.609,330.212,468.477,563.341,747.088,1284.145,0.004
1200,8508.000,242.770,0.776,81.528,199.174,361.940,518.347,616.239,798.021,1417.297,0.004
1205,7921.400,256.779,0.669,84.547,206.138,384.419,550.809,653.496,866.862,1595.449,0.004
1210,7257.600,285.760,0.690,95.251,232.548,426.953,607.216,718.662,959.192,1623.388,0.003
1215,7139.200,287.450,0.808,88.456,230.174,436.056,624.683,745.650,979.044,1555.758,0.003
1220,6215.400,338.564,0.655,107.727,261.753,503.535,703.515,828.183,1118.274,8154.210,0.003
1225,1570.600,1911.178,0.831,49.509,236.673,6515.701,6932.764,7077.838,7390.145,7838.423,0.001
1230,4306.800,241.457,0.524,58.749,178.932,368.292,558.611,679.251,913.589,1590.952,0.004
1235,8060.800,248.933,0.739,77.524,192.425,368.625,551.666,665.514,898.186,1601.643,0.004
1240,8423.600,245.470,0.570,78.697,193.966,367.017,534.606,637.573,855.263,1489.694,0.004
1245,7845.400,260.262,0.906,80.835,205.654,393.578,568.405,673.711,906.362,1635.402,0.004
1250,6984.400,293.378,0.824,101.251,239.062,438.547,623.718,732.353,971.657,1648.333,0.003
1255,6886.400,299.188,0.738,90.533,233.842,456.005,653.207,778.638,1041.735,1870.140,0.003
1260,6440.000,313.745,0.777,105.386,248.031,476.470,674.649,785.915,1023.376,1810.704,0.003
1265,6118.600,343.854,1.157,124.946,280.315,509.731,712.025,844.166,1125.717,2303.027,0.003
1270,5796.800,355.420,0.648,99.786,272.389,543.264,803.959,956.016,1268.309,2136.176,0.003
1275,7854.600,252.868,0.733,74.173,192.256,377.832,564.279,689.069,930.070,1699.614,0.004
1280,5046.200,402.702,0.656,87.687,215.169,448.322,785.401,2025.676,2395.741,3081.172,0.002
1285,7036.400,292.281,0.697,85.087,208.168,389.472,636.671,959.122,1268.119,2177.832,0.003
1290,7528.800,271.585,0.677,89.323,216.265,408.080,586.791,691.476,916.000,1824.807,0.004
1295,6781.800,574.715,0.951,96.443,237.607,451.709,722.529,5045.530,5546.009,6382.630,0.002
1300,555.200,433.975,2.011,198.495,391.905,620.272,834.705,983.657,1254.170,1541.785,0.002
1305,3851.200,1048.884,1.076,99.731,271.147,560.667,7066.905,7335.748,7670.885,8396.111,0.001
1310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1315,9639.600,213.004,0.544,65.488,173.621,319.950,459.448,548.110,731.928,1441.836,0.005
1320,8755.600,235.116,0.651,74.378,186.859,351.447,509.848,618.128,830.310,1508.918,0.004
1325,8218.600,249.238,0.691,75.648,188.832,368.178,554.675,672.618,922.948,1639.715,0.004
1330,7715.600,265.177,0.692,84.247,212.552,394.946,571.612,682.819,910.959,1507.350,0.004
1335,6951.000,298.060,1.034,94.387,236.843,447.334,640.027,766.908,1032.493,1779.597,0.003
1340,6731.600,306.008,0.822,101.512,248.352,464.850,652.748,767.302,1008.080,2116.119,0.003
1345,6317.200,322.470,0.660,100.487,249.267,492.501,702.990,830.803,1104.039,1859.258,0.003
1350,6150.600,334.426,0.806,119.023,267.999,505.140,695.117,817.672,1102.981,1833.867,0.003
1355,3714.200,1088.448,0.734,126.259,338.747,646.686,6805.627,7029.656,7456.400,8754.748,0.001
1360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1365,9150.400,227.669,0.725,73.175,188.279,336.336,485.356,587.861,772.549,1362.658,0.004
1370,8347.000,242.611,0.622,83.161,198.254,356.871,519.470,626.258,834.940,1627.030,0.004
1375,7826.600,270.137,0.844,90.838,218.286,390.373,582.203,708.758,967.320,1736.638,0.004
1380,7204.600,274.638,0.660,96.297,222.802,411.737,579.079,687.112,896.033,1443.254,0.004
1385,6914.400,296.196,0.818,99.103,236.459,447.796,636.428,751.363,985.347,1758.038,0.003
1390,6883.400,309.213,0.671,98.606,244.695,463.988,670.288,794.669,1068.121,1793.775,0.003
1395,4098.600,943.693,1.557,124.024,279.100,556.420,1594.708,6695.653,7060.606,7932.960,0.001
1400,464.400,346.576,2.477,163.002,298.774,497.133,679.626,764.490,943.886,1407.605,0.003
1405,9572.000,213.758,0.691,65.494,170.047,319.268,466.145,557.442,752.259,1594.498,0.005
1410,8662.400,234.350,0.776,71.465,186.972,356.649,509.576,605.563,789.049,1485.984,0.004
1415,8044.800,258.032,0.730,86.265,209.071,387.432,550.988,660.609,871.822,1421.070,0.004
1420,7498.400,270.877,1.300,87.775,216.911,409.033,583.127,690.956,904.926,1671.936,0.004
1425,6872.800,300.104,0.878,105.311,244.702,444.284,635.910,754.695,988.699,1804.844,0.003
1430,6832.800,297.469,0.663,92.728,232.102,451.367,649.655,769.706,1014.228,2047.276,0.003
1435,6088.200,588.589,0.787,109.063,263.369,526.330,805.104,1064.485,7956.937,9062.347,0.002
1440,280.600,5378.589,1.353,138.518,7442.066,7539.024,7609.257,7876.066,8138.260,8469.586,0.000
1445,4139.000,261.352,0.863,89.770,212.160,389.865,559.866,659.793,862.449,1759.701,0.004
1450,8109.200,246.219,0.623,70.431,197.203,374.131,536.253,647.803,872.259,1508.145,0.004
1455,8451.600,243.905,0.532,78.492,196.105,364.683,527.509,629.543,835.000,1952.286,0.004
1460,7762.800,264.973,0.632,87.073,217.707,399.931,565.045,663.852,882.853,1382.042,0.004
1465,7279.800,283.001,0.787,97.236,228.423,427.933,599.887,706.282,925.361,1719.863,0.004
1470,6756.200,302.550,0.974,97.031,239.116,457.807,655.625,778.054,1020.481,1799.870,0.003
1475,6469.800,319.672,0.854,110.671,255.056,477.726,675.421,798.792,1053.619,2868.507,0.003
1480,4435.400,462.369,0.970,119.269,297.031,583.710,1121.451,1701.844,2251.976,2970.944,0.002
1485,1955.000,2571.382,0.880,114.339,298.420,674.659,11278.577,11420.511,11721.922,12575.309,0.000
1490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1495,4731.200,225.452,0.533,77.458,188.459,331.797,479.354,575.144,761.283,1221.004,0.004
1500,9171.800,225.463,0.552,72.619,184.259,332.537,486.602,584.450,777.259,1609.821,0.004
1505,8405.200,241.871,0.553,77.238,191.992,365.135,527.256,628.232,817.196,1503.347,0.004
1510,8014.800,256.407,0.503,90.112,211.675,381.533,537.215,636.057,855.076,1412.557,0.004
1515,7208.000,284.396,0.695,96.864,227.093,426.389,603.857,718.238,955.971,1814.907,0.004
1520,6932.600,294.181,0.856,90.080,232.748,447.531,640.968,757.642,999.073,2024.552,0.003
1525,6639.200,315.623,1.052,97.953,242.482,478.953,692.273,824.110,1093.228,2078.610,0.003
1530,4444.200,451.063,1.567,115.402,271.169,555.947,1059.433,1775.884,2205.007,3161.516,0.002
1535,3604.600,761.806,1.460,107.287,286.995,626.185,3945.092,4232.918,4585.545,5459.908,0.001
1540,5888.000,228.456,0.698,71.774,184.043,337.309,492.482,598.784,801.567,1305.345,0.004
1545,9056.200,226.601,0.752,71.802,180.624,341.628,494.012,586.225,775.486,1451.434,0.004
1550,8543.200,239.203,0.892,84.866,194.948,358.518,504.414,595.661,776.406,1444.483,0.004
1555,7882.200,262.566,0.880,84.138,209.393,392.743,570.140,676.448,884.435,1614.180,0.004
1560,7246.200,279.636,0.780,103.696,230.167,413.392,581.871,688.891,903.413,1608.937,0.004
1565,5109.600,780.557,0.601,104.077,257.014,507.928,881.055,6214.000,6727.097,17055.931,0.001
1570,445.400,1474.427,5.708,193.574,405.178,684.013,10780.297,10881.261,10900.430,11290.998,0.001
1575,797.400,4771.392,0.983,120.365,466.010,10241.897,10445.721,10533.088,10702.451,11037.087,0.000
1580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1585,8030.000,222.806,0.550,72.400,178.353,334.310,474.846,578.631,770.845,1541.424,0.004
1590,8804.400,232.133,0.582,82.277,194.085,339.875,494.267,591.091,776.035,1289.346,0.004
1595,8189.600,251.219,0.711,89.500,203.787,371.782,528.609,629.711,846.426,1491.237,0.004
1600,7926.600,259.782,0.649,87.102,207.661,390.759,557.881,656.480,870.108,1541.954,0.004
1605,6991.000,293.978,0.995,102.573,234.716,432.334,628.090,744.959,1008.641,1997.241,0.003
1610,7054.600,289.460,0.585,82.780,220.550,439.598,645.521,775.470,1049.436,1972.110,0.003
1615,6487.400,316.066,0.887,100.955,247.262,477.449,683.110,811.193,1061.586,1884.034,0.003
1620,6133.400,337.523,1.130,114.360,262.298,508.245,727.735,851.305,1118.800,1975.084,0.003
1625,5770.000,354.507,0.851,107.071,273.504,535.375,787.097,937.789,1246.751,2348.828,0.003
1630,5817.600,350.253,0.960,99.042,272.219,540.565,776.931,917.908,1206.410,1961.377,0.003
1635,5434.200,377.910,0.875,114.439,296.002,571.462,825.520,978.823,1314.304,2453.345,0.003
1640,5235.800,393.415,1.511,126.644,305.392,604.220,843.595,991.998,1308.873,2209.238,0.003
1645,5520.600,371.021,0.887,113.498,287.137,573.250,804.400,952.247,1272.827,2032.802,0.003
1650,7495.600,266.976,0.892,89.867,216.051,400.324,568.549,678.375,893.028,1541.371,0.004
1655,4376.800,1046.368,0.820,108.608,271.066,498.310,956.324,8423.108,8705.835,10509.064,0.001
1660,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1665,4668.800,360.769,0.862,122.627,272.316,515.578,719.142,865.052,1311.956,4448.295,0.003
1670,3060.600,626.908,0.883,93.210,231.255,467.053,3122.760,3376.557,3679.508,4314.301,0.002
1675,9226.600,220.350,0.711,70.031,174.768,331.430,476.568,572.166,765.072,1278.096,0.005
1680,8795.600,232.128,0.788,79.196,187.827,348.020,495.335,585.961,780.206,1574.105,0.004
1685,7850.200,262.619,0.694,89.275,212.639,392.797,562.654,665.000,866.002,1822.320,0.004
1690,7421.200,279.543,0.861,86.829,221.843,417.889,604.886,728.689,988.063,1707.076,0.004
1695,7030.600,294.445,0.612,97.250,235.375,445.446,627.206,744.245,985.645,1617.152,0.003
1700,6414.600,316.225,0.794,106.347,253.278,475.520,680.198,795.579,1053.115,1785.314,0.003
1705,6361.000,327.213,0.935,109.722,260.319,485.779,708.455,841.684,1088.484,1790.823,0.003
1710,5612.600,358.256,0.784,111.078,278.864,542.595,773.355,926.053,1267.707,2303.987,0.003
1715,3285.200,1538.003,0.735,119.090,307.676,649.998,9761.017,10141.320,10284.276,11081.587,0.001
1720,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1725,4288.800,238.644,1.052,75.519,182.449,356.261,527.318,632.860,866.923,1577.148,0.004
1730,8585.600,243.582,0.486,80.260,202.689,357.056,518.001,623.501,846.138,1615.908,0.004
1735,8311.200,246.352,0.588,78.197,193.969,367.906,535.879,642.968,859.528,1596.553,0.004
1740,7560.800,272.261,0.619,90.478,219.199,408.100,584.378,690.475,910.940,1662.731,0.004
1745,5737.600,365.085,1.389,107.219,256.871,496.293,818.209,1166.301,1592.129,2454.917,0.003
1750,6593.000,303.773,1.111,103.931,234.552,452.889,655.153,783.631,1060.174,1822.077,0.003
1755,3636.600,743.029,0.924,114.588,283.151,566.141,3980.934,4263.860,4466.069,5104.010,0.001
1760,5639.200,243.214,0.991,79.360,196.669,362.551,522.097,627.196,842.145,1703.207,0.004
1765,8418.600,240.598,0.604,70.668,191.497,360.851,528.059,630.966,849.674,1454.297,0.004
1770,8130.600,255.313,0.927,87.289,204.630,383.560,544.226,646.195,840.037,1690.933,0.004
1775,7697.400,261.353,0.888,86.050,208.176,389.755,561.972,662.618,898.721,1654.982,0.004
1780,6924.000,302.658,0.894,95.146,242.021,460.153,654.231,775.940,1012.099,1981.821,0.003
1785,6706.200,300.351,0.799,97.864,236.824,454.889,642.491,765.237,1033.584,1947.659,0.003
1790,6387.400,325.329,1.014,108.579,258.762,490.641,688.135,815.587,1095.219,2023.992,0.003
1795,6200.800,334.803,0.790,108.331,262.320,511.664,717.665,841.327,1123.810,1942.237,0.003
